altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A	couvert
2859	16	739	127	150	175	228	192	1590	0	1
3024	8	42	4	1261	205	246	179	957	0	1
3057	9	295	68	2581	198	230	171	1959	0	1
2802	12	120	14	446	240	223	112	2582	0	1
2880	20	190	71	1317	194	254	193	2698	0	1
2878	16	272	95	938	239	237	123	2974	0	1
2858	14	269	77	845	238	237	126	2955	0	1
2649	5	0	0	30	226	241	149	845	0	1
2687	7	255	15	297	230	228	132	1200	0	1
3014	14	391	-4	1620	242	219	104	1159	0	1
3006	22	182	63	2520	156	213	193	964	0	1
2927	18	659	193	402	227	199	100	1242	0	1
3084	0	360	37	3182	218	239	156	1400	0	1
2895	9	626	161	391	233	225	123	1183	0	1
3002	3	351	17	1920	210	240	168	1140	0	1
2896	11	633	64	421	237	223	115	1209	0	1
2656	6	124	13	150	224	228	139	774	0	1
2647	5	90	5	120	224	229	140	658	0	1
2861	29	85	41	95	236	170	45	960	1	1
2827	8	649	-3	481	207	227	158	1154	0	1
2679	8	268	22	309	220	223	136	900	0	1
2988	13	30	6	2311	183	240	196	1147	0	1
2918	9	1	0	1415	227	221	127	1471	0	1
2761	6	85	12	470	208	231	162	2724	0	1
2699	15	362	42	402	220	207	118	875	0	1
3012	4	540	-6	1687	225	234	144	1436	0	1
3060	7	67	9	3022	210	246	174	1473	0	1
2829	17	366	114	447	181	250	206	1982	0	1
3070	8	285	43	2736	203	229	165	1295	0	1
2900	8	400	67	663	220	223	139	1436	0	1
2666	14	242	32	301	214	209	128	418	0	1
2649	9	190	24	228	215	221	143	391	0	1
2645	10	180	20	212	221	218	131	400	0	1
2769	13	192	55	384	197	251	190	2184	0	1
2845	25	402	132	551	191	254	189	1931	0	1
3024	10	437	3	1084	237	226	119	1354	0	1
2665	13	295	40	335	213	212	133	301	0	1
3016	14	124	21	2393	179	233	193	1411	0	1
2887	11	242	55	810	231	243	143	1549	0	1
2995	9	541	-24	1455	217	248	165	1557	0	1
3019	7	339	-2	1865	201	236	174	1560	0	1
2724	11	474	99	532	219	216	131	324	0	1
2981	8	571	-38	1328	222	246	158	1556	0	1
3256	5	457	108	1231	205	236	171	2083	1	1
3000	14	256	11	1739	213	208	128	1471	0	1
2885	15	390	59	900	213	207	127	1567	0	1
2745	9	30	1	598	213	220	144	2455	0	1
2870	17	331	38	1063	199	254	188	1865	0	1
2956	12	742	-63	1120	220	249	160	1638	0	1
3013	8	342	-20	1784	198	234	175	1840	0	1
2809	8	285	21	1057	221	225	140	1230	0	1
3063	18	255	54	2510	169	237	207	1710	0	1
3001	11	362	72	1952	225	215	123	1756	0	1
2883	19	499	259	783	183	253	203	1719	0	1
3051	15	424	22	1924	198	209	147	1463	0	1
2964	14	190	35	1980	241	218	104	1935	0	1
2839	16	134	7	1144	245	228	106	1740	0	1
2810	3	240	22	969	219	232	150	934	0	1
2895	15	553	261	983	223	249	156	1800	0	1
3076	12	467	2	1984	208	216	144	1298	0	1
2791	25	306	169	626	183	254	196	1668	0	1
3025	10	400	-9	1784	194	236	183	2026	0	1
3072	10	361	65	2561	193	240	186	1890	0	1
2833	18	242	45	1299	234	201	94	1406	0	1
2983	11	713	-50	1543	190	237	186	2003	0	1
2957	13	95	19	2190	241	228	115	2041	0	1
2651	30	85	34	469	156	250	218	1431	0	1
2970	17	457	85	2055	242	210	93	2609	0	1
2695	16	60	9	1243	217	203	117	1605	0	1
